logon,AJR0932,PC-4748,Logoff,09/18/2010 02:02:51
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 00:02:30
http,AJR0932,PC-4748,http://etsy.com/Climate_of_India/mawsynram/ercbegfnffrgfgryrznexrgvatqngnonfr1992030467.php,09/18/2010 00:03:02
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 00:04:30
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 00:06:17
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 00:06:24
http,AJR0932,PC-4748,http://autotrader.com/July_2009_rmqi_riots/uyghur/qngnonfr698395983.asp,09/18/2010 00:07:04
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 00:07:31
http,AJR0932,PC-4748,http://craigslist.org/Eremoryzomys/eremoryzomys/jnyxvatfubrfqngnonfr285499236.htm,09/18/2010 00:09:14
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 00:13:23
http,AJR0932,PC-4748,http://wikileaks.org/Julian_Assange/assange/The_Real_Story_About_DTAA/Gur_Erny_Fgbel_Nobhg_QGNN1528513805.php,09/18/2010 00:43:55
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:14:47
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:16:28
http,AJR0932,PC-4748,http://deviantart.com/Silky_sifaka/marojejy/fpvffbefqngnonfrobneqbsqverpgbef800564325.htm,09/18/2010 01:16:49
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:19:01
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:19:16
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:19:32
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:19:43
http,AJR0932,PC-4748,http://icontact.com/Hell_Is_Other_Robots/robotology/qngnonfrfxvvatfnsrgl2086399572.jsp,09/18/2010 01:19:55
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:22:13
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:22:20
http,AJR0932,PC-4748,http://edmunds.com/RomanPersian_Wars/parthian/qngnonfrpbbxvat1195322042.jsp,09/18/2010 01:22:47
