2010-02-01.csv,[ 0.         -0.2236068   0.          0.          0.13019236  0.          0.
 -0.27346573  0.          0.         -0.70169293  0.         -0.2236068
 -0.66317225  0.        ],
2010-02-02.csv,[ 0.         -0.21821789  0.          0.          1.39034964  0.          0.
 -0.26897229  0.          0.         -0.67855396  0.         -0.21821789
  0.9296646   0.        ],
2010-02-03.csv,[ 0.         -0.21320072  0.          0.          2.78287335  0.          0.
 -0.22957025  0.          0.         -0.65752271  0.         -0.21320072
 -0.65031951  0.        ],
2010-02-04.csv,[ 0.         -0.20851441  0.          0.         -0.37618933  0.          0.
 -0.28434405  0.          0.         -0.03071113  0.         -0.20851441
 -0.66785634  0.        ],
2010-02-05.csv,[ 0.         -0.20412415  0.          0.         -0.86354821  0.          0.
 -0.22306045  0.          0.         -0.65580324  0.         -0.20412415
  0.92312659  0.        ],
2010-02-08.csv,[ 0.         -0.2         0.          0.         -0.63217474  0.          0.
 -0.28219732  0.          0.         -0.21898932  0.         -0.2
 -0.91268232  0.        ],
2010-02-09.csv,[ 0.         -0.19611614  0.          0.          0.19390541  0.          0.
 -0.2487781   0.          0.         -0.63977297  0.         -0.19611614
 -0.8914875   0.        ],
2010-02-10.csv,[ 0.         -0.19245009  0.          0.          0.11356947  0.          0.
 -0.24517891  0.          0.         -0.62384475  0.         -0.19245009
 -0.87078509  0.        ],
2010-02-11.csv,[ 0.         -0.18898224  0.          0.         -0.23130867  0.          0.
 -0.20923297  0.          0.         -0.19592484  0.         -0.18898224
  0.72265966  0.        ],
2010-02-12.csv,[ 0.         -0.18569534  0.          0.          0.10805964  0.          0.
 -0.25798194  0.          0.         -0.60969148  0.         -0.18569534
  1.80012553  0.        ],
2010-02-15.csv,[ 0.         -0.18257419  0.          0.          2.69474622  0.          0.
 -0.20394688  0.          0.         -0.59666506  0.         -0.18257419
  0.63499664  0.        ],
2010-02-16.csv,[ 0.         -0.1796053   0.          0.         -0.39430213  0.          0.
 -0.20324204  0.          0.         -0.58442362  0.         -0.1796053
  1.93897698  0.        ],
2010-02-17.csv,[ 0.         -0.1767767   0.          0.          0.1244348   0.          0.
 -0.23247525  0.          0.          1.35029628  0.         -0.1767767
  0.55962777  0.        ],
2010-02-18.csv,[ 0.         -0.17407766  0.          0.          0.06097527  0.          0.
 -0.2294198   0.          0.          1.18878212  0.         -0.17407766
 -0.98854972  0.        ],
2010-02-19.csv,[ 0.         -0.17149859  0.          0.         -0.71988067  0.          0.
 -0.2264739   0.          0.         -0.6183074   0.         -0.17149859
  0.44681589  0.        ],
2010-02-22.csv,[ 0.         -0.16903085  0.          0.          0.00818779  0.          0.
 -0.22363187  0.          0.          1.09219887  0.         -0.16903085
 -0.58867896  0.        ],
2010-02-23.csv,[ 0.         -0.16666667  0.          0.         -0.03673653  0.          0.
