AAF0535,27,117,0,0,
AAM0658,2,203,2,3,
ABC0174,33,238,2,14,
AJR0932,3,173,3,1,
AKR0057,28,183,2,10,
BBS0039,2,135,1,11,
BDV0168,3,142,3,1,
BIH0745,1,123,1,3,
BLS0678,3,178,2,2,
BSS0369,2,212,1,50,
BTL0226,3,190,1,3,
CAH0936,2,150,2,15,
CCA0046,2,179,1,54,
CCL0068,30,238,0,0,
CEJ0109,28,270,0,0,
CQW0652,28,279,0,3,
CSC0217,2,91,1,1,
DCH0843,1,269,1,4,
DIB0285,27,137,0,1,
DRR0162,28,208,0,0,
EDB0714,29,193,0,0,
EGD0132,29,140,0,0,
EHB0824,5,134,3,1,
EHD0584,3,188,3,3,
FMG0527,3,248,2,3,
FSC0601,29,257,0,8,
FTM0406,2,224,2,2,
GHL0460,1,209,1,3,
GTD0219,2,96,1,20,
HBO0413,28,275,0,0,
HJB0742,3,219,1,6,
HXL0968,32,159,0,0,
IJM0776,28,123,0,1,
IKR0401,28,239,0,2,
IUB0565,28,186,0,0,
JGT0221,2,115,1,1,
JJM0203,27,164,6,14,
JLM0364,2,313,1,9,
JMB0308,4,129,3,1,
JRG0207,4,259,3,4,
JTM0223,2,120,1,0,
KLH0596,1,271,1,2,
KPC0073,4,125,3,2,
KRL0501,28,217,0,0,
LCC0819,28,109,0,1,
LJR0523,4,144,4,1,
LQC0479,4,173,3,0,
MAR0955,3,274,3,3,
MAS0025,2,179,2,3,
MCF0600,4,217,1,12,
MDH0580,29,247,0,1,
MOS0047,35,121,18,35,
MPM0220,2,196,0,19,
MSO0222,2,217,1,11,
MYD0978,4,228,3,1,
NWT0098,29,270,0,0,
PNL0301,28,108,0,1,
PPF0435,1,269,1,3,
PSF0133,30,140,0,0,
RAB0589,3,174,1,13,
RAR0725,27,124,0,0,
RGG0064,4,198,2,1,
RHL0992,28,128,1,4,
RKD0604,3,128,2,3,
RMW0542,29,112,0,0,
TAP0551,2,204,2,13,
TNM0961,28,192,7,35,
VSS0154,26,168,0,0,
WDD0366,3,285,2,10,
XHW0498,29,146,0,0,
